TIMESTAMP,N08Ad_L1p,N08Ad_L3c,N08Ad_L4p,N08Ad_S1c,N08Bd_L2c,N08Bd_S2c,N08Bd_S3p,N08Bd_S4p,N08Ad_S6c,N08Ad_L5p,N08Bd_S2p
2017-03-01 00:00:00,10293.25,2700,NA,5702.25,2891,4173.5,16529.25,14368,NA,2519.66666666667,NA
2017-03-01 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-01 04:00:00,10295.25,2700,NA,5705,2891,4181.25,16554.25,14374,NA,2519.66666666667,NA
2017-03-01 05:00:00,10296.75,2700.25,NA,5705,2891,4183.25,16558.75,14372,NA,2519.66666666667,NA
2017-03-01 06:00:00,10297,2701,NA,5705,2891,4184,16562.25,14372.75,NA,2518.91666666667,NA
2017-03-01 07:00:00,10297.5,2701,NA,5705,2891,4184,16565,14372.5,NA,2519.41666666667,NA
2017-03-01 08:00:00,10298,2701,NA,5705,2891,4184,16566.75,14373,NA,2519.41666666667,NA
2017-03-01 09:00:00,10297.25,2700.5,NA,5705,2891,4184,16568,14374,NA,2519.66666666667,NA
2017-03-01 10:00:00,10298.75,2700,NA,5705,2891.5,4184,16569,14376.5,NA,2519.66666666667,NA
2017-03-01 11:00:00,10300,2701,NA,5705,2892,4184,16568.75,14380,NA,2519.41666666667,NA
2017-03-01 12:00:00,10301.5,2701,NA,5705,2892,4184,16566,14386.5,NA,2517.66666666667,NA
2017-03-01 13:00:00,10303.25,2701,NA,5705,2892,4184,16560,14386,NA,2518.91666666667,NA
2017-03-01 14:00:00,10304.5,2701,NA,5705,2892,4184,16552.5,14386,NA,2519.41666666667,NA
2017-03-01 15:00:00,10306.5,2701,NA,5705,2892,4184,16544.25,14386,NA,2520.16666666667,NA
2017-03-01 16:00:00,10307.75,2701,NA,5705,2892,4184,16536.25,14386,NA,2520.16666666667,NA
2017-03-01 17:00:00,10304.5,2701,NA,5705,2892,4184,16529.25,14384.25,NA,2517.91666666667,NA
2017-03-01 18:00:00,10299.75,2701,NA,5705,2892,4184,16526.5,14383,NA,2518.91666666667,NA
2017-03-01 19:00:00,10297,2701,NA,5705,2891,4184,16527,14382.5,NA,2519.66666666667,NA
2017-03-01 20:00:00,10296,2701,NA,5705,2891,4184,16526.25,14380.25,NA,2519.66666666667,NA
2017-03-01 21:00:00,10294.5,2701,NA,5705,2891,4184,16525,14381,NA,2518.91666666667,NA
2017-03-01 22:00:00,10293,2701,NA,5705,2891,4184,16524.5,14381,NA,2518.66666666667,NA
2017-03-01 23:00:00,10291.5,2701.25,NA,5705,2891,4184,16525,14381,NA,2518.16666666667,NA
2017-03-02 00:00:00,10290.5,2702.75,NA,5705,2891,4184,16530.75,14381,NA,2518.16666666667,NA
2017-03-02 01:00:00,10291,2703.75,NA,5711.75,2891,4184,16554.25,14381,NA,2518.41666666667,NA
2017-03-02 02:00:00,10291,2703.75,NA,5715,2891,4184,16564.25,14383.5,NA,2517.91666666667,NA
2017-03-02 03:00:00,10292.25,2704,NA,5715,2891,4184,16572.5,14383.25,NA,2517.91666666667,NA
2017-03-02 04:00:00,10292.5,2705,NA,5715,2891,4185.75,16578.75,14384,NA,2518.41666666667,NA
2017-03-02 05:00:00,10293.25,2705.5,NA,5715,2891,4188.25,16583,14384,NA,2517.66666666667,NA
2017-03-02 06:00:00,10293.75,2706,NA,5715,2891,4190,16587,14384,NA,2518.16666666667,NA
2017-03-02 07:00:00,10294.25,2706.25,NA,5715,2891,4193,16592,14384,NA,2518.16666666667,NA
2017-03-02 08:00:00,10294.5,2707,NA,5716,2891,4196.25,16596,14384,NA,2518.91666666667,NA
2017-03-02 09:00:00,10294.5,2707,NA,5716,2891.5,4199.5,16600.25,14384.5,NA,2519.66666666667,NA
